Trial,stance_freq,swing_freq,a_param,lambda_cpl,A_front,A_back,A_hip,Time_Duration,Straight_line_distance,Average_Forward_Speed,Average_Lateral_Deviation,Total_Energy_Consumed,Cost_of_Transport,Total_COM_Displacement,Average_Frequency
1,4.782870167,2.752637899,10.09936277,0.280594599,0.260391424,0.237791537,0.034729913,20,0.040765867,0.000786751,0.009236608,1.459190741,4.052626905,0.040765867,3.554380382
2,2.768052217,2.25308457,5.44316399,0.453625727,0.698883988,1.437958132,0.360880095,20,0.421458217,0.007940989,0.134763767,34.37255699,9.233759413,0.421458217,2.487975468
3,5.052432443,5.408746549,15.85789942,0.111715093,1.7535856,1.04715195,1.733233994,20,0.072712197,-0.002463169,0.035978999,96.55169376,150.3397666,0.072712197,5.22433355
4,3.605307945,1.140319755,9.343006999,0.770276298,1.894322471,0.701912689,1.148448199,20,0.30754674,0.014278725,0.027293898,38.46304279,14.15969012,0.30754674,1.945336434
5,0.993930798,0.258606981,15.31287808,0.096971576,0.822633329,0.071235743,0.919520589,20,0.023655044,0.001182712,4.47E-05,2.847838688,13.63053388,0.023655044,0.42098366
6,5.67398196,3.940367382,6.12912166,0.87592784,0.785418972,0.811340875,0.089489853,20,0.134453361,0.006715592,0.017750996,17.02738151,14.33829279,0.134453361,4.68660492
7,0.063440218,4.03598485,19.78571355,0.841376485,0.608101321,1.326512005,0.476682111,20,0.001032139,3.82E-05,2.10E-06,0.00271114,,0.001032139,0.063440223
8,1.921214533,3.504063215,5.926832715,0.476719122,1.847201426,0.27525739,0.781641708,20,0.243890716,0.01150028,0.022607592,40.37803919,18.74438496,0.243890716,2.51777381
9,3.487638056,2.120068756,19.19354525,0.160112025,0.054647497,1.883542641,1.816518439,20,0.087424423,-0.001180026,0.039854935,79.16042447,102.5171627,0.087424423,2.647446108
10,0.686604425,1.215784065,17.89711248,0.504969963,1.655400846,1.335709485,1.958420485,20,0.028421338,0.001382211,0.004472761,25.19735863,100.3764295,0.028421338,0.932032578
11,1.078623242,5.605888247,7.606483643,0.540336084,1.596393749,1.84204758,1.927673682,20,0.079931537,0.003867753,0.037478507,84.91120693,120.2729843,0.079931537,2.020697662
12,2.961294484,4.957226602,11.07067903,0.595774834,0.980216149,0.433810201,1.076702639,20,0.162781934,0.004779885,0.053294483,30.500055,21.21366263,0.162781934,3.77004075
13,0.206953716,5.858371046,13.39315639,0.248500577,1.286269397,1.529874498,1.488007722,20,0.037826737,0.00181124,0.002547539,12.3136421,36.85605859,0.037826737,0.462781039
