iteration,candidate_speed,cand_stance_freq,cand_swing_freq,cand_a_param,cand_lambda_cpl,cand_A_front,cand_A_back,cand_A_hip,bestp_stance_freq,bestp_swing_freq,bestp_a_param,bestp_lambda_cpl,bestp_A_front,bestp_A_back,bestp_A_hip,max_ei,median_sigma,mll
0,0.0212093280031199,3.4086089259093555,1.2025991454986178,19.868508447540165,0.9014221286433374,1.719452126502056,1.927683751653052,0.0178513499162608,3.4086089259093555,1.2025991454986178,19.868508447540165,0.9014221286433374,1.719452126502056,1.927683751653052,0.0178513499162608,,,
1,0.0035388613542935,3.125658631324768,0.4766880869865417,20.0,0.8097667694091797,1.857656955718994,1.838761687278748,0.0,3.125658631324768,0.4766880869865417,20.0,0.8097667694091797,1.857656955718994,1.838761687278748,0.0,-8.544427660788106,0.0061751218822043,-1.4250766192252118
2,0.022842864437773,3.626915216445923,1.844669044017792,20.0,0.8522529602050781,1.6858298778533936,1.8566253185272217,0.0432216748595237,3.626915216445923,1.844669044017792,20.0,0.8522529602050781,1.6858298778533936,1.8566253185272217,0.0432216748595237,-8.118666223586564,0.0065217904688496,-1.4805958942830793
3,0.0026546677008908,4.151861071586609,2.3059614300727844,17.69534409046173,0.7144086956977844,1.6765042543411257,1.7290414571762085,0.1102233678102493,4.151861071586609,2.3059614300727844,17.69534409046173,0.7144086956977844,1.6765042543411257,1.7290414571762085,0.1102233678102493,-7.581537249197716,0.0066296700665618,-1.386577323927277
4,0.0024387557175913,3.5596554279327397,2.454694390296936,20.0,0.894894540309906,1.6405980587005615,1.912013411521912,0.0,3.5596554279327397,2.454694390296936,20.0,0.894894540309906,1.6405980587005615,1.912013411521912,0.0,-7.5372274885672255,0.0072622400920574,-1.435892999178056
5,0.0192209387838648,3.2390506267547607,1.5605982542037964,20.0,0.9318875670433044,1.6194974184036257,1.789234638214111,0.2714692056179046,3.2390506267547607,1.5605982542037964,20.0,0.9318875670433044,1.6194974184036257,1.789234638214111,0.2714692056179046,-7.06858880652239,0.0070791496522926,-1.4052123242653811
6,0.0110472558828766,4.361463189125061,2.505852162837982,5.536271762102842,0.4026136100292206,0.3711395263671875,1.6342250108718872,0.2929394543170929,4.361463189125061,2.505852162837982,5.536271762102842,0.4026136100292206,0.3711395263671875,1.6342250108718872,0.2929394543170929,-9.300113715106884,0.0077091237901817,-1.398349801333696
7,0.023121298842964,3.489535689353943,1.5917081236839294,20.0,0.9161697030067444,1.8030147552490237,2.0,0.0,3.489535689353943,1.5917081236839294,20.0,0.9161697030067444,1.8030147552490237,2.0,0.0,-9.924707834606536,0.0076915994882718,-1.3743993600368425
8,0.0226401403552855,4.01980984210968,1.5319186449050903,20.0,0.7227798104286194,1.6170371770858765,1.9656347036361692,0.0,4.01980984210968,1.5319186449050903,20.0,0.7227798104286194,1.6170371770858765,1.9656347036361692,0.0,-9.527899345253704,0.0082087825379128,-1.3434294473476618
9,0.003085461802819,6.0,1.5671011805534365,20.0,1.0,1.7173974514007568,2.0,0.0,6.0,1.5671011805534365,20.0,1.0,1.7173974514007568,2.0,0.0,-7.286943638481111,0.0084716725228942,-1.2906421978749971
10,0.0218295075007778,3.376626133918762,1.5534671545028689,20.0,0.6990405321121216,1.6972160339355469,1.6075767278671265,0.0,3.376626133918762,1.5534671545028689,20.0,0.6990405321121216,1.6972160339355469,1.6075767278671265,0.0,-8.593855206932972,0.0085076153528537,-1.3099529865918207
11,0.0144920324200356,3.958401918411255,1.5223093628883362,20.0,1.0,1.734580159187317,2.0,0.5764120817184448,3.958401918411255,1.5223093628883362,20.0,1.0,1.734580159187317,2.0,0.5764120817184448,-8.226545703651409,0.0086908483578697,-1.2561392973350671
12,0.0097589305526386,4.296701073646545,3.3060665130615234,10.670136213302612,0.6177062392234802,0.3703536987304687,1.7401645183563232,1.2808433771133425,4.296701073646545,3.3060665130615234,10.670136213302612,0.6177062392234802,0.3703536987304687,1.7401645183563232,1.2808433771133425,-9.439811852719927,0.0087752729502435,-1.259351878314196
13,0.0208512330950102,3.5320043563842773,1.561248242855072,17.398330569267273,1.0,1.6811999082565308,2.0,0.0,3.5320043563842773,1.561248242855072,17.398330569267273,1.0,1.6811999082565308,2.0,0.0,-9.62010041025875,0.0086424322526836,-1.247082005144645
14,-0.0006204957126365,4.134896636009216,1.839757740497589,5.753488447517157,0.7262940406799316,0.3917934000492096,1.5066438913345337,0.3156679570674896,4.134896636009216,1.839757740497589,5.753488447517157,0.7262940406799316,0.3917934000492096,1.5066438913345337,0.3156679570674896,-9.602166297787402,0.008842874678223,-1.22115051259716
15,0.0247972362587846,3.351442337036133,1.6303156614303589,11.713431924581528,0.7519300580024719,1.7512248754501345,2.0,0.0,3.351442337036133,1.6303156614303589,11.713431924581528,0.7519300580024719,1.7512248754501345,2.0,0.0,-8.91584745520054,0.0085544177636989,-1.194544674262476
16,0.0253390735400169,2.941382646560669,1.7437925934791565,20.0,0.7173484563827515,1.6931800842285156,2.0,0.0,2.941382646560669,1.7437925934791565,20.0,0.7173484563827515,1.6931800842285156,2.0,0.0,-8.725942852970494,0.0085714705204494,-1.1386250257462962
17,0.0269003910608232,3.3830190896987915,1.7340527772903442,20.0,0.5809330344200134,1.8818515539169312,2.0,0.0,3.3830190896987915,1.7340527772903442,20.0,0.5809330344200134,1.8818515539169312,2.0,0.0,-9.202763805408187,0.0084930353904278,-1.079519627828673
18,0.0313078785295263,3.5254887342453003,1.6996707916259766,20.0,0.1804815679788589,1.714564085006714,2.0,0.0,3.5254887342453003,1.6996707916259766,20.0,0.1804815679788589,1.714564085006714,2.0,0.0,-8.8903955340757,0.0082993416259773,-1.0192199294043252
19,0.0330778227622051,3.477875590324402,1.7499083876609802,7.0892032235860825,0.0,1.6902810335159302,2.0,0.0,3.477875590324402,1.7499083876609802,7.0892032235860825,0.0,1.6902810335159302,2.0,0.0,-10.488109001706968,0.0083668090901892,-0.9624220480795546
20,0.0323997193933355,3.428376317024231,1.784862220287323,20.0,0.0,1.573939085006714,2.0,0.0,3.428376317024231,1.784862220287323,20.0,0.0,1.573939085006714,2.0,0.0,-11.084727864319518,0.0083499334187885,-0.897433840756399
21,0.0348695401523828,3.184301018714905,1.7846195697784424,5.0,0.0,1.7509490251541138,2.0,0.0,3.184301018714905,1.7846195697784424,5.0,0.0,1.7509490251541138,2.0,0.0,-10.58505687285786,0.0083699933544521,-0.8388765192482163
22,0.0369286425723119,2.910686194896698,1.856254041194916,5.0,0.0,1.83115553855896,2.0,0.0,2.910686194896698,1.856254041194916,5.0,0.0,1.83115553855896,2.0,0.0,-10.870641442112156,0.0083234740549043,-0.7788371894799052
23,0.0403710192704342,2.403545558452606,1.983255386352539,5.0,0.0,2.0,2.0,0.0,2.403545558452606,1.983255386352539,5.0,0.0,2.0,2.0,0.0,-10.362836090239965,0.0085980707076052,-0.7375202266153112
24,0.0222651473483431,1.590620756149292,2.1556416749954224,5.0,0.0,2.0,2.0,0.0,1.590620756149292,2.1556416749954224,5.0,0.0,2.0,2.0,0.0,-8.850558586446901,0.0089283887970327,-0.6900708063977303
25,0.0214284551175363,2.649173140525818,2.0379872918128967,5.0,0.0,2.0,2.0,0.6963711977005005,2.649173140525818,2.0379872918128967,5.0,0.0,2.0,2.0,0.6963711977005005,-11.363085925250854,0.0101122009401521,-0.7799186896652238
26,0.0441449165426575,2.78631591796875,2.035071909427643,5.0,0.0,2.0,2.0,0.0,2.78631591796875,2.035071909427643,5.0,0.0,2.0,2.0,0.0,-11.544930167410278,0.0112637657992694,-0.84723242890728
