iter,max_ei,median_sigma,mll
1,-6.66740572484992,0.005055574148244781,-1.273208633088303
2,-7.699188647019293,0.00891376196824061,-1.517374939279156
3,-6.713564318463532,0.00812718906487752,-1.4505974313517633
4,-13.265263648122016,0.008816713653046817,-1.6448653260910338
5,-13.464227534002907,0.008682462573682747,-1.6239372330836386
6,-13.53927384176869,0.008613938324724192,-1.6041107453598253
7,-13.570649289009928,0.008492695530173174,-1.5854911319977054
8,-13.999767797172495,0.008379716110177201,-1.5678697564014084
9,-14.105114637494184,0.008288887730911309,-1.5511289811788755
10,-14.238042218537299,0.008189944867722905,-1.535292442297124
11,-14.378577441954974,0.008091424097914064,-1.5202661133945505
12,-14.46421568980264,0.008014832600614434,-1.5059287105132713
13,-14.619566683935638,0.007919498330781644,-1.492344332697505
14,-13.870255869568982,0.008231332686702054,-1.478389754966039
15,-13.934386071742484,0.008161178043828904,-1.4659682563954446
16,-14.096147609105598,0.008092830477328493,-1.4541253043657665
17,-14.63623656706032,0.008047673571478424,-1.4613356671156068
18,-14.782738269900605,0.00798325784838845,-1.4500449894328205
19,-14.819159742005137,0.00793087043733132,-1.4390875209609912
20,-14.917919679609623,0.007857590924540104,-1.42875515055123
21,-15.052232606849625,0.007814114164987583,-1.4187711873241557
22,-15.136518101245375,0.0077484495244279075,-1.4091784772905558
23,-15.21066861641413,0.007678633468665355,-1.400001359437199
24,-13.711347849813022,0.00838285756506295,-1.357786974083219
25,-13.2606827240223,0.008364790842145444,-1.3497879195051163
26,-13.857791882111787,0.008365735064062801,-1.3418377391938503
27,-13.7827258040328,0.008359217379732574,-1.3342568023558392
28,-13.893911871600032,0.00828455166242873,-1.3272267305710805
29,-13.838997646275441,0.00833386934333723,-1.3201431212447905
30,-12.837521966851385,0.008886468926092711,-1.3116642953766464
31,-12.832624734646277,0.008882837540159325,-1.3051007774472778
32,-12.589665502862367,0.0090840671436323,-1.2991070220634349
33,-12.682077057984355,0.009027665363747061,-1.2932207806620906
34,-12.600361807589081,0.00900078724046911,-1.3135160586264456
35,-12.701990849117175,0.008947269591450336,-1.2814874230293996
36,-13.044055528685924,0.009601691145170198,-1.2729854866967152
