iteration,bestp_stance_freq,bestp_swing_freq,bestp_a_param,bestp_lambda_cpl,bestp_A_front,bestp_A_back,bestp_A_hip,candidate_speed,best_speed,max_ei,median_sigma,mll
0,4.743918248402792,2.702961805113673,12.50963140009938,0.1679447602112071,1.4850140039484312,1.4972515429635045,0.5148739197303086,0.0328792670253961,0.0328792670253961,,,
1,5.50502336025238,3.03535258769989,7.559001296758652,0.140957698225975,1.7974109649658203,1.3088574409484863,0.7289000153541565,-0.0020685335210105,0.0328792670253961,-6.474624312072548,0.0050690772277672,-1.273208633088303
2,5.260205268859863,3.251208186149597,13.15383404493332,0.3272354304790497,1.4471821784973145,1.370949625968933,0.3515247404575348,0.0187610906522888,0.0328792670253961,-7.745906906573381,0.0081924268207164,-1.4552402726679343
3,4.775813698768616,2.131402015686035,15.011936128139496,0.2726890742778778,1.2148293256759644,1.530264973640442,0.501175045967102,0.0039811921403596,0.0328792670253961,-7.402534464180698,0.0073557323037524,-1.394895310428225
4,4.23921275138855,3.250803709030152,12.115314900875092,0.126285046339035,1.4274446964263916,1.5372042655944824,0.4145744740962982,0.0399166066241694,0.0399166066241694,-7.784080270593847,0.0086488875240814,-1.4281671901520805
5,2.82222318649292,3.4605621099472046,11.761825680732729,0.1068140417337417,1.046777606010437,1.6887518167495728,0.2495650351047516,-0.0054753614865742,0.0399166066241694,-7.678706095253903,0.0092910255010554,-1.3328766854974874
6,4.124438524246216,3.785853624343872,12.497488558292387,0.2944105267524719,1.5069974660873413,1.4726502895355225,0.3547434508800506,0.0412680382861767,0.0412680382861767,-8.376202924787076,0.0105936550722057,-1.399472574007084
7,4.182412147521973,3.923561453819275,7.61046327650547,0.2552256286144256,1.478937745094299,1.72877299785614,0.8024916052818298,0.0350938873125598,0.0412680382861767,-7.703861722497776,0.0107431415121706,-1.3001385194812358
8,4.167347431182861,4.075864791870117,19.369376003742214,0.0438126474618911,1.4856178760528564,1.5445903539657593,0.1125075221061706,0.0044542906073453,0.0412680382861767,-7.752917442221518,0.011170683713985,-1.2641828994418596
9,4.246876001358032,3.2295284271240234,10.509214848279951,0.6562886238098145,1.5005652904510498,1.4724609851837158,0.291896641254425,0.0432076740076584,0.0432076740076584,-7.767492761991405,0.0117849197184708,-1.310064624150947
10,4.293887615203857,3.964625716209412,11.375941187143326,0.9690610766410828,1.5075249671936035,1.6482348442077637,0.8937175869941711,0.0032125484748476,0.0432076740076584,-7.713642975932155,0.0122737199867238,-1.260305000076511
11,4.163896322250366,2.8412484526634216,8.520051538944244,0.2318369001150131,1.504913091659546,1.5599099397659302,0.3864569365978241,0.002433407353297,0.0432076740076584,-7.649481413079167,0.0130485862856499,-1.297158569130869
12,4.169508934020996,2.6928078532218933,11.461507230997086,0.6619572043418884,1.5350289344787598,1.4875739812850952,0.373938649892807,-0.0013946807331921,0.0432076740076584,-6.951635665394978,0.0132646682000463,-1.3419959573586997
13,4.157288432121277,3.512409210205078,9.280739426612854,0.3719458878040313,1.4515036344528198,1.434056282043457,0.3219897150993347,0.040504581456956,0.0432076740076584,-5.957777965061288,0.0129951030535968,-1.3279001041075733
14,4.23872172832489,3.3960320949554443,13.27390044927597,0.6626117825508118,1.684703707695007,1.627882480621338,0.1857385784387588,0.0485882015723346,0.0485882015723346,-7.202828380977862,0.0139015584972351,-1.330355259087767
15,4.446984887123108,3.2963361740112305,13.102765679359436,0.4813320338726043,1.531980276107788,1.5863174200057983,0.2039470970630645,0.0464279053041128,0.0485882015723346,-7.66415820658294,0.0146725261461737,-1.287727370462698
16,4.217924952507019,3.3836023807525635,13.714951276779177,0.5007264018058777,0.910827100276947,1.6601377725601196,0.7038469910621643,0.0207259092892726,0.0485882015723346,-7.434778762699164,0.015323817019859,-1.260807359405015
17,4.267578721046448,3.422475814819336,12.604681253433228,0.3661531507968902,1.7220059633255005,1.3685991764068604,0.7118269205093384,0.0007395969804661,0.0485882015723346,-8.326831132498324,0.0155411327581584,-1.2730386205479025
18,4.262348055839539,3.488154172897339,12.24564164876938,0.8713651895523071,1.294816255569458,1.7170289754867554,0.2575805783271789,0.0307155644703966,0.0485882015723346,-8.052358039282806,0.0155471356184794,-1.270203520772231
19,4.364578127861023,3.4860109090805054,11.929386407136915,0.5073384046554565,1.615294098854065,1.2803951501846311,0.2910715639591217,0.0194304440426172,0.0485882015723346,-8.911612348842134,0.0156484162611329,-1.278803826263128
20,4.2503825426101685,3.5087921619415283,11.67934462428093,0.4473296403884887,1.9352978467941284,1.551037073135376,0.2604328989982605,0.0280570570160297,0.0485882015723346,-9.192924100315071,0.015527671828373,-1.2767450831078415
21,4.164746403694153,3.450671553611756,13.111911118030548,0.4919067919254303,1.490481972694397,1.5447511672973633,0.1959774196147918,0.0280986211696597,0.0485882015723346,-9.434021841939767,0.0155445314513135,-1.2791421099706552
