iter,max_ei,median_sigma,mll
1,-6.474624312072548,0.005069077227767276,-1.273208633088303
2,-7.745906906573381,0.008192426820716492,-1.4552402726679345
3,-7.4025344641806985,0.0073557323037524705,-1.394895310428225
4,-7.784080270593847,0.008648887524081455,-1.4281671901520805
5,-7.678706095253903,0.009291025501055447,-1.3328766854974874
6,-8.376202924787076,0.010593655072205735,-1.3994725740070841
7,-7.703861722497776,0.010743141512170692,-1.3001385194812358
8,-7.752917442221518,0.011170683713985075,-1.2641828994418596
9,-7.767492761991405,0.011784919718470826,-1.310064624150947
10,-7.713642975932155,0.012273719986723837,-1.260305000076511
11,-7.649481413079167,0.013048586285649944,-1.2971585691308687
12,-6.951635665394978,0.013264668200046379,-1.3419959573586995
13,-5.957777965061288,0.012995103053596867,-1.3279001041075733
14,-7.202828380977862,0.013901558497235116,-1.330355259087767
15,-7.66415820658294,0.01467252614617371,-1.287727370462698
16,-7.434778762699164,0.015323817019859064,-1.2608073594050153
17,-8.326831132498324,0.015541132758158441,-1.2730386205479025
18,-8.052358039282806,0.015547135618479471,-1.270203520772231
19,-8.911612348842134,0.015648416261132975,-1.278803826263128
20,-9.192924100315071,0.015527671828373035,-1.2767450831078417
21,-9.434021841939767,0.015544531451313534,-1.2791421099706552
22,-9.167216484473764,0.015554622031732633,-1.2638170982434274
23,-7.283795195246526,0.01554815512149578,-1.2589972383844794
24,-7.916524014238414,0.01621471232453995,-1.2414939639073383
25,-8.870951393817881,0.01611173475862672,-1.2577184513735924
26,-8.913835955007807,0.01596185612452242,-1.2664527650001298
27,-8.175431089569873,0.016257058300371836,-1.2298713006460225
28,-8.059038145958306,0.016274571444021564,-1.237059690599399
29,-7.1001217261750735,0.016309576793110625,-1.2155193135091353
30,-8.119660746726538,0.016686576017875362,-1.2014774880330488
31,-8.469291196975036,0.017274167264638013,-1.1858649488758788
32,-7.8611758167578225,0.01745371839638248,-1.1766142870751106
33,-7.944234988459341,0.01731438281376226,-1.1893815110960848
34,-9.476821455475626,0.01786003842170931,-1.1719136018646108
35,-8.654264434532642,0.017889562008871995,-1.1837413012517124
36,-8.725728182414207,0.018211570757244243,-1.1722658858971735
37,-9.23018882507953,0.018135663984499693,-1.176052352798627
38,-9.618995272644602,0.01831593607472007,-1.1708156477240599
39,-9.244517571630688,0.018411147053253668,-1.159026882559138
40,-9.185270125837045,0.018652301677630573,-1.1485574191603767
41,-9.086662890186705,0.0189786565212123,-1.1351192587790417
42,-8.07993409296751,0.01923320777922844,-1.1223307121500314
43,-8.914513877102202,0.019258764914050434,-1.1234815178357616
44,-7.931547518641935,0.019562682581874786,-1.1091809614708743
45,-9.09070589545946,0.019721504843384443,-1.0996021039723076
46,-8.569338385691598,0.01984496448648576,-1.0891042703896328
47,-8.444875096993126,0.019841482029061785,-1.0874838534959839
48,-8.709218371114455,0.01982362512507647,-1.0840596936208502
49,-8.6827788572785,0.020038494028722778,-1.0689266975738798
50,-8.364701722805346,0.020084472512662065,-1.0585888560809882
51,-7.918869422827468,0.020076646452173223,-1.0484945630143467
52,-8.490018796355503,0.020143280585968953,-1.0456618053822828
53,-8.323743033109048,0.02015606178150693,-1.0405123427605876
54,-8.1942017981488,0.020069399642559865,-1.0424849441576263
55,-8.36112687588006,0.020079672758517637,-1.0393076965565218
56,-8.980908530453533,0.020016640839477438,-1.0259259901248443
57,-8.837624618693699,0.019919877973986543,-1.053505946970357
58,-8.45644611244582,0.01985145355347855,-1.065940957845664
59,-8.617145082050824,0.019975734702170213,-1.0678819214437618
60,-9.01853099955255,0.02005142123389693,-1.053214844934694
61,-8.3905316454304,0.02008160077124576,-1.0591018829586254
62,-8.754910208272573,0.01997290174074443,-1.0393117387279345
63,-9.026015886307235,0.019944374006424348,-1.0396604211639704
